date,year,season,RONI
2009-08,2009,JAS,0.4
2009-09,2009,ASO,0.6
2009-10,2009,SON,0.9
2009-11,2009,OND,1.3
2009-12,2009,NDJ,1.6
2010-01,2010,DJF,1.5
2010-02,2010,JFM,1.1
2010-03,2010,FMA,0.6
2010-04,2010,MAM,0.1
2010-05,2010,AMJ,-0.5
2010-06,2010,MJJ,-1.0
2010-07,2010,JJA,-1.3
2010-08,2010,JAS,-1.5
2010-09,2010,ASO,-1.7
2010-10,2010,SON,-1.7
2010-11,2010,OND,-1.7
2010-12,2010,NDJ,-1.6
2011-01,2011,DJF,-1.4
2011-02,2011,JFM,-1.2
2011-03,2011,FMA,-0.9
2011-04,2011,MAM,-0.7
2011-05,2011,AMJ,-0.5
2011-06,2011,MJJ,-0.3
2011-07,2011,JJA,-0.4
2011-08,2011,JAS,-0.5
2011-09,2011,ASO,-0.7
2011-10,2011,SON,-0.9
2011-11,2011,OND,-1.0
2011-12,2011,NDJ,-1.0
2012-01,2012,DJF,-0.8
2012-02,2012,JFM,-0.6
2012-03,2012,FMA,-0.6
2012-04,2012,MAM,-0.5
2012-05,2012,AMJ,-0.3
2012-06,2012,MJJ,0.0
2012-07,2012,JJA,0.3
2012-08,2012,JAS,0.4
2012-09,2012,ASO,0.4
2012-10,2012,SON,0.2
2012-11,2012,OND,-0.1
2012-12,2012,NDJ,-0.4
2013-01,2013,DJF,-0.6
2013-02,2013,JFM,-0.6
2013-03,2013,FMA,-0.5
2013-04,2013,MAM,-0.4
2013-05,2013,AMJ,-0.4
2013-06,2013,MJJ,-0.4
2013-07,2013,JJA,-0.4
2013-08,2013,JAS,-0.3
2013-09,2013,ASO,-0.3
2013-10,2013,SON,-0.2
2013-11,2013,OND,-0.2
2013-12,2013,NDJ,-0.3
2014-01,2014,DJF,-0.5
2014-02,2014,JFM,-0.5
2014-03,2014,FMA,-0.3
2014-04,2014,MAM,0.0
2014-05,2014,AMJ,0.1
2014-06,2014,MJJ,0.0
2014-07,2014,JJA,-0.1
2014-08,2014,JAS,-0.1
2014-09,2014,ASO,0.1
2014-10,2014,SON,0.4
2014-11,2014,OND,0.5
2014-12,2014,NDJ,0.6
2015-01,2015,DJF,0.5
2015-02,2015,JFM,0.4
2015-03,2015,FMA,0.5
2015-04,2015,MAM,0.6
2015-05,2015,AMJ,0.8
2015-06,2015,MJJ,1.0
2015-07,2015,JJA,1.3
2015-08,2015,JAS,1.6
2015-09,2015,ASO,1.9
2015-10,2015,SON,2.2
2015-11,2015,OND,2.3
2015-12,2015,NDJ,2.4
2016-01,2016,DJF,2.2
2016-02,2016,JFM,1.8
2016-03,2016,FMA,1.3
2016-04,2016,MAM,0.5
2016-05,2016,AMJ,-0.1
2016-06,2016,MJJ,-0.6
2016-07,2016,JJA,-0.9
2016-08,2016,JAS,-1.0
2016-09,2016,ASO,-1.1
2016-10,2016,SON,-1.1
2016-11,2016,OND,-1.1
2016-12,2016,NDJ,-1.0
2017-01,2017,DJF,-0.7
2017-02,2017,JFM,-0.5
2017-03,2017,FMA,-0.3
2017-04,2017,MAM,-0.1
2017-05,2017,AMJ,0.1
2017-06,2017,MJJ,0.1
2017-07,2017,JJA,-0.2
